Country,Variant,date,I,D,R,V,H,ICU,Population,S,Stringency
ITA,Omicron,2022-03-18,52428.22448979592,140.46938775510205,52344.51020408164,68185.44897959183,8954.26530612245,528.0408163265307,59037472.0,58963846.04081632,43.69428571428572
ITA,Omicron,2022-03-19,55210.91836734694,138.79591836734696,55110.9387755102,66544.38775510204,8915.448979591838,517.3877551020408,59037472.0,58960924.551020406,43.69
ITA,Omicron,2022-03-20,58152.67346938776,136.9591836734694,58037.87755102041,64984.9387755102,8893.285714285714,507.5102040816327,59037472.0,58957845.8367347,43.68714285714286
ITA,Omicron,2022-03-21,61039.22448979592,135.65306122448982,60909.04081632653,63425.30612244898,8887.816326530612,498.3877551020408,59037472.0,58954823.632653065,43.682857142857145
ITA,Omicron,2022-03-22,63858.6530612245,134.16326530612247,63712.77551020408,61830.79591836735,8899.530612244898,490.1428571428572,59037472.0,58951870.04081632,43.68
ITA,Omicron,2022-03-23,66368.4693877551,133.10204081632654,66207.95918367348,60184.02040816327,8926.938775510205,483.4285714285714,59037472.0,58949227.12244899,43.67714285714286
ITA,Omicron,2022-03-24,68467.6530612245,132.75510204081633,68293.30612244898,58497.79591836735,8968.530612244898,477.6530612244898,59037472.0,58946995.18367348,43.67428571428572
ITA,Omicron,2022-03-25,70017.20408163265,133.6734693877551,69831.97959183673,56793.95918367348,9020.08163265306,472.4081632653061,59037472.0,58945311.95918368,43.67142857142857
ITA,Omicron,2022-03-26,71019.89795918368,134.02040816326533,70821.22448979592,55122.08163265306,9084.73469387755,467.6326530612245,59037472.0,58944175.24489796,43.66857142857143
ITA,Omicron,2022-03-27,71568.48979591836,136.0204081632653,71355.42857142857,53512.5306122449,9161.775510204085,463.7959183673469,59037472.0,58943490.632653065,43.66571428571428
ITA,Omicron,2022-03-28,71863.26530612246,137.6530612244898,71636.59183673469,51969.18367346939,9250.795918367348,461.57142857142856,59037472.0,58943058.20408163,43.66285714285714
ITA,Omicron,2022-03-29,72043.10204081633,139.0,71807.85714285714,50520.387755102034,9347.04081632653,460.9591836734694,59037472.0,58942739.36734694,43.66
ITA,Omicron,2022-03-30,72078.08163265306,139.59183673469389,71833.48979591836,49190.36734693877,9452.04081632653,460.8775510204081,59037472.0,58942564.79591837,43.65714285714286
ITA,Omicron,2022-03-31,71885.3469387755,140.20408163265307,71634.34693877552,47964.36734693877,9562.836734693878,461.7551020408162,59037472.0,58942617.32653061,43.65428571428571
ITA,Omicron,2022-04-01,71517.83673469388,139.24489795918367,71258.57142857143,46777.95918367347,9682.857142857143,463.7755102040816,59037472.0,58942845.591836736,42.62571428571429
ITA,Omicron,2022-04-02,71207.9387755102,138.83673469387753,70943.32653061223,45552.83673469388,9808.632653061226,467.0204081632653,59037472.0,58943016.653061226,41.597142857142856
ITA,Omicron,2022-04-03,70856.16326530612,137.97959183673467,70590.10204081632,44256.0,9936.714285714286,470.83673469387753,59037472.0,58943230.4489796,40.56857142857143
ITA,Omicron,2022-04-04,70409.4693877551,138.0816326530612,70144.34693877552,42850.89795918368,10063.755102040815,474.0816326530612,59037472.0,58943539.0612245,39.541428571428575
ITA,Omicron,2022-04-05,69996.5306122449,139.28571428571428,69736.59183673469,41312.51020408164,10184.408163265303,476.34693877551024,59037472.0,58943812.71428572,38.51428571428572
ITA,Omicron,2022-04-06,69282.08163265306,141.24489795918367,69033.83673469388,39610.387755102034,10291.408163265309,478.0,59037472.0,58944385.91836735,37.487142857142864
ITA,Omicron,2022-04-07,68678.26530612246,142.42857142857142,68443.26530612246,37735.16326530612,10383.979591836734,479.2857142857142,59037472.0,58944847.30612246,36.45857142857143
ITA,Omicron,2022-04-08,68156.95918367346,143.89795918367346,67939.04081632654,35809.08163265306,10458.0,479.6938775510204,59037472.0,58945224.71428572,36.457142857142856
ITA,Omicron,2022-04-09,67430.71428571429,145.0,67230.55102040815,33950.34693877551,10513.163265306122,478.6326530612245,59037472.0,58945805.95918368,36.455714285714286
ITA,Omicron,2022-04-10,66627.18367346938,145.53061224489798,66444.1224489796,32192.87755102041,10550.69387755102,476.57142857142856,59037472.0,58946463.95918368,36.45428571428572
ITA,Omicron,2022-04-11,65915.77551020408,144.75510204081633,65748.65306122448,30620.28571428572,10573.061224489797,474.2448979591837,59037472.0,58947030.6122449,36.45285714285715
ITA,Omicron,2022-04-12,65155.5306122449,143.16326530612247,65000.95918367347,29279.08163265306,10584.469387755102,472.0816326530612,59037472.0,58947647.69387756,36.45142857142857
ITA,Omicron,2022-04-13,64528.42857142857,140.71428571428572,64382.28571428572,28216.285714285717,10589.897959183672,469.8775510204081,59037472.0,58948134.08163265,36.45
ITA,Omicron,2022-04-14,63783.51020408164,138.81632653061226,63644.10204081633,27500.5306122449,10590.489795918367,466.57142857142856,59037472.0,58948740.18367346,36.44857142857144
ITA,Omicron,2022-04-15,63033.183673469386,137.08163265306123,62901.0612244898,27045.775510204083,10585.530612244898,462.6734693877551,59037472.0,58949353.42857143,36.44714285714286
ITA,Omicron,2022-04-16,62365.469387755096,135.3265306122449,62239.97959183674,26747.897959183672,10575.69387755102,458.3673469387755,59037472.0,58949885.816326536,36.44571428571429
ITA,Omicron,2022-04-17,61842.71428571428,134.3469387755102,61725.12244897959,26571.22448979592,10558.938775510203,453.2857142857143,59037472.0,58950274.22448979,36.44428571428572
ITA,Omicron,2022-04-18,61308.16326530612,133.83673469387756,61198.612244897966,26378.693877551017,10534.653061224488,447.4285714285714,59037472.0,58950674.93877552,36.44285714285714
ITA,Omicron,2022-04-19,60620.69387755101,132.79591836734693,60511.91836734694,26182.85714285714,10510.632653061224,440.89795918367344,59037472.0,58951229.6122449,36.441428571428574
ITA,Omicron,2022-04-20,58874.61224489795,131.40816326530611,58766.81632653061,25995.08163265306,10487.020408163267,433.9795918367348,59037472.0,58952844.28571428,36.44
ITA,Omicron,2022-04-21,58050.02040816326,130.91836734693877,57938.5306122449,25766.87755102041,10467.591836734697,428.00000000000006,59037472.0,58953537.95918368,36.44
ITA,Omicron,2022-04-22,57529.18367346939,130.79591836734696,57412.65306122449,25560.734693877548,10453.326530612245,422.734693877551,59037472.0,58953928.0,36.44
ITA,Omicron,2022-04-23,57351.30612244898,132.30612244897958,57228.57142857143,25499.775510204083,10443.755102040815,418.4693877551021,59037472.0,58953973.571428575,36.44
ITA,Omicron,2022-04-24,57303.69387755102,133.59183673469389,57169.63265306122,25633.877551020407,10444.224489795915,415.734693877551,59037472.0,58953887.591836736,36.44
ITA,Omicron,2022-04-25,57383.877551020414,134.85714285714286,57238.63265306123,26127.714285714286,10454.61224489796,414.2244897959184,59037472.0,58953672.551020406,36.44
ITA,Omicron,2022-04-26,57807.142857142855,137.14285714285714,57656.857142857145,26916.081632653066,10467.755102040815,413.2857142857143,59037472.0,58953112.14285714,36.44
ITA,Omicron,2022-04-27,59442.40816326531,140.67346938775512,59290.142857142855,27918.87755102041,10479.346938775512,412.6938775510204,59037472.0,58951336.20408163,36.44
ITA,Omicron,2022-04-28,60060.0612244898,142.79591836734696,59912.5918367347,29103.55102040817,10484.020408163266,411.5306122448979,59037472.0,58950575.75510204,36.44
